step,algorithm,action,pid,size,memory_state,free_blocks,free_memory
1,best,alloc,P1,5,[P1:5][FREE:95],1,95
2,best,alloc,P2,12,[P1:5][P2:12][FREE:83],1,83
3,best,alloc,P3,8,[P1:5][P2:12][P3:8][FREE:75],1,75
4,best,alloc,P4,20,[P1:5][P2:12][P3:8][P4:20][FREE:55],1,55
5,best,alloc,P5,6,[P1:5][P2:12][P3:8][P4:20][P5:6][FREE:49],1,49
6,best,free,P2,,[P1:5][FREE:12][P3:8][P4:20][P5:6][FREE:49],2,61
7,best,alloc,P6,15,[P1:5][FREE:12][P3:8][P4:20][P5:6][P6:15][FREE:34],2,46
8,best,alloc,P7,7,[P1:5][P7:7][FREE:5][P3:8][P4:20][P5:6][P6:15][FREE:34],2,39
9,best,free,P4,,[P1:5][P7:7][FREE:5][P3:8][FREE:20][P5:6][P6:15][FREE:34],3,59
10,best,alloc,P8,10,[P1:5][P7:7][FREE:5][P3:8][P8:10][FREE:10][P5:6][P6:15][FREE:34],3,49
11,best,alloc,P9,9,[P1:5][P7:7][FREE:5][P3:8][P8:10][P9:9][FREE:1][P5:6][P6:15][FREE:34],3,40
12,best,free,P1,,[FREE:5][P7:7][FREE:5][P3:8][P8:10][P9:9][FREE:1][P5:6][P6:15][FREE:34],4,45
13,best,alloc,P10,18,[FREE:5][P7:7][FREE:5][P3:8][P8:10][P9:9][FREE:1][P5:6][P6:15][P10:18][FREE:16],4,27
14,best,free,P6,,[FREE:5][P7:7][FREE:5][P3:8][P8:10][P9:9][FREE:1][P5:6][FREE:15][P10:18][FREE:16],5,42
15,best,alloc,P11,4,[P11:4][FREE:1][P7:7][FREE:5][P3:8][P8:10][P9:9][FREE:1][P5:6][FREE:15][P10:18][FREE:16],5,38
16,best,alloc,P12,11,[P11:4][FREE:1][P7:7][FREE:5][P3:8][P8:10][P9:9][FREE:1][P5:6][P12:11][FREE:4][P10:18][FREE:16],5,27
17,best,free,P3,,[P11:4][FREE:1][P7:7][FREE:13][P8:10][P9:9][FREE:1][P5:6][P12:11][FREE:4][P10:18][FREE:16],5,35
18,best,alloc,P13,14,[P11:4][FREE:1][P7:7][FREE:13][P8:10][P9:9][FREE:1][P5:6][P12:11][FREE:4][P10:18][P13:14][FREE:2],5,21
19,best,alloc,P14,6,[P11:4][FREE:1][P7:7][P14:6][FREE:7][P8:10][P9:9][FREE:1][P5:6][P12:11][FREE:4][P10:18][P13:14][FREE:2],5,15
20,best,free,P5,,[P11:4][FREE:1][P7:7][P14:6][FREE:7][P8:10][P9:9][FREE:7][P12:11][FREE:4][P10:18][P13:14][FREE:2],5,21
21,best,alloc,P15,16,[P11:4][FREE:1][P7:7][P14:6][FREE:7][P8:10][P9:9][FREE:7][P12:11][FREE:4][P10:18][P13:14][FREE:2],5,21
22,best,free,P7,,[P11:4][FREE:8][P14:6][FREE:7][P8:10][P9:9][FREE:7][P12:11][FREE:4][P10:18][P13:14][FREE:2],5,28
23,best,alloc,P16,8,[P11:4][P16:8][P14:6][FREE:7][P8:10][P9:9][FREE:7][P12:11][FREE:4][P10:18][P13:14][FREE:2],4,20
24,best,alloc,P17,10,[P11:4][P16:8][P14:6][FREE:7][P8:10][P9:9][FREE:7][P12:11][FREE:4][P10:18][P13:14][FREE:2],4,20
25,best,free,P9,,[P11:4][P16:8][P14:6][FREE:7][P8:10][FREE:16][P12:11][FREE:4][P10:18][P13:14][FREE:2],4,29
26,best,alloc,P18,12,[P11:4][P16:8][P14:6][FREE:7][P8:10][P18:12][FREE:4][P12:11][FREE:4][P10:18][P13:14][FREE:2],4,17
27,best,free,P8,,[P11:4][P16:8][P14:6][FREE:17][P18:12][FREE:4][P12:11][FREE:4][P10:18][P13:14][FREE:2],4,27
28,best,alloc,P19,7,[P11:4][P16:8][P14:6][P19:7][FREE:10][P18:12][FREE:4][P12:11][FREE:4][P10:18][P13:14][FREE:2],4,20
29,best,alloc,P20,9,[P11:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][FREE:4][P12:11][FREE:4][P10:18][P13:14][FREE:2],4,11
30,best,free,P10,,[P11:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][FREE:4][P12:11][FREE:22][P13:14][FREE:2],4,29
31,best,alloc,P21,14,[P11:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][FREE:4][P12:11][P21:14][FREE:8][P13:14][FREE:2],4,15
32,best,free,P11,,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][FREE:4][P12:11][P21:14][FREE:8][P13:14][FREE:2],5,19
33,best,alloc,P22,6,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][FREE:4][P12:11][P21:14][P22:6][FREE:2][P13:14][FREE:2],5,13
34,best,alloc,P23,10,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][FREE:4][P12:11][P21:14][P22:6][FREE:2][P13:14][FREE:2],5,13
35,best,free,P12,,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][FREE:15][P21:14][P22:6][FREE:2][P13:14][FREE:2],5,24
36,best,alloc,P24,15,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][P24:15][P21:14][P22:6][FREE:2][P13:14][FREE:2],4,9
37,best,free,P13,,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][P24:15][P21:14][P22:6][FREE:18],3,23
38,best,alloc,P25,8,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][P24:15][P21:14][P22:6][P25:8][FREE:10],3,15
39,best,alloc,P26,9,[FREE:4][P16:8][P14:6][P19:7][P20:9][FREE:1][P18:12][P24:15][P21:14][P22:6][P25:8][P26:9][FREE:1],3,6
40,best,free,P14,,[FREE:4][P16:8][FREE:6][P19:7][P20:9][FREE:1][P18:12][P24:15][P21:14][P22:6][P25:8][P26:9][FREE:1],4,12
41,best,alloc,P27,12,[FREE:4][P16:8][FREE:6][P19:7][P20:9][FREE:1][P18:12][P24:15][P21:14][P22:6][P25:8][P26:9][FREE:1],4,12
